"gn","fc","pval","bm"
"PGLYRP1",1.794949571,0.013660222,2.276909764
"UPP2",1.062058997,0.0429,9.993211161
"CD9",1.817403447,0.002944941,10.04887624
"DBNDD1",1.824312754,0.003734245,10.81135919
"TYROBP",-2.110030883,0.001129604,12.70173269
"REXO5",-2.347678742,8.04e-06,14.51605844
"DEPDC1",-3.509150844,3.32e-09,15.06146049
"TMEM132A",1.720267068,0.000405414,15.8316437
"SOX8",3.211681172,3.51e-07,17.32963243
"BAD",-1.057237408,0.015262982,17.4333591
"CAMKK1",1.354853679,0.006065436,21.50830965
"CENPQ",-0.996685528,0.032186217,24.16585293
"BAIAP2L1",1.266879129,0.017916805,24.44693474
"TSPAN6",1.302468822,0.001772662,25.25674458
"MRC2",3.031235234,3.26e-08,27.61193008
"ICA1",-1.290738106,0.000861265,32.0618033
"ABCC2",1.035641212,0.029312872,33.61616677
"SLC38A5",-1.426876146,0.001258171,34.68341701
"ZNF582",1.646386395,6e-05,37.29452489
"FAM214B",-1.697337537,1.24e-05,39.1259819
"TKTL1",2.20196347,1.29e-05,42.32620322
"LRRC23",1.531075891,6.09e-05,44.15497362
"AASS",1.996708937,2.07e-07,44.86703674
"RRAGD",1.965063822,3.9e-08,45.64599069
"NFIX",1.132543203,0.021572904,46.48645138
"TBXA2R",0.948266029,0.013877228,47.3778498
"RPUSD1",-0.905300323,0.006789359,48.65418693
"ST7",-1.884246146,1.43e-08,49.79872881
"MIPEP",-0.9088413,0.017291314,54.12290046
"ABHD5",-1.425290327,1.35e-05,56.18625079
"E2F2",-5.011194075,1.78e-32,56.39916335
"IYD",0.642610185,0.031251759,58.10485429
"MKS1",0.777468571,0.012515998,62.87393639
"GGCT",-1.906474344,6.53e-11,69.29698737
"PLXND1",-1.274939237,0.012375952,70.80359114
"CEACAM21",0.959857322,0.003774924,71.05787286
"FUCA2",-0.764421958,0.005400523,72.03849226
"APBA3",-0.555778892,0.037999045,73.37065753
"OSBPL5",1.326804331,9.63e-06,73.37576245
"ARNTL2",-2.765671996,9.23e-09,74.62124402
"GRN",-1.095985174,0.034935872,80.13716451
"TSR3",-0.807011453,0.001137516,81.10913525
"HMGB3",-4.387288475,1.56e-25,84.36924686
"UQCRC1",-0.998747228,3.1e-05,85.54849214
"ANLN",-4.292671907,6.02e-33,86.61972169
"GIPR",0.749178438,0.042461542,87.60692683
"EIPR1",-0.955035245,5.05e-05,87.86504424
"FHL1",0.831566359,0.007498666,93.9045237
"GAS7",-2.853109597,1.13e-11,96.00220049
"DERA",-1.169675565,0.000519749,99.56528983
"PSMC4",-1.608907705,5.34e-11,100.8579873
"NDUFAB1",-1.188455802,3.18e-06,103.2586066
"MATK",-1.456865701,2.68e-05,104.3084627
"ALAS1",-1.215296709,0.000127629,107.4683039
"STPG1",0.772006269,0.048465615,108.0712339
"UBR7",-1.324420169,1.12e-07,108.2317816
"B4GALT7",0.736362657,0.043245049,112.4076077
"SNX11",0.696387557,0.001097049,114.3551044
"TOMM34",-0.914748518,0.001253825,117.4828969
"BAK1",-1.711033107,7e-11,120.1631076
"FGR",-5.609368054,1.44e-18,122.79253
"FAS",-2.671660483,9.78e-14,126.6985672
"POLR2J",-0.876457438,0.000600433,126.7144246
"TTC22",-0.546787246,0.029344969,128.0408
"RNF14",-0.598055036,0.031354125,129.9028552
"BRCA1",-2.488734776,6.29e-17,130.7773132
"SS18L2",-0.987025726,3.89e-05,136.2341759
"CELSR3",0.799789443,0.019093378,137.47692
"PRDM11",1.014163113,0.000142697,141.4124375
"MNAT1",-0.977194062,4.04e-05,143.401416
"SPPL2B",0.909394382,0.006725924,149.7828779
"ACSM3",1.366125371,1.03e-06,153.312967
"BID",-1.091740708,0.000139151,153.939246
"SNAPC1",1.145054577,2.68e-08,155.2121174
"DBF4",-0.515374507,0.038697832,156.45309
"STARD3NL",-1.247138897,2.83e-08,162.9596208
"ENPP4",-1.079758358,5.97e-05,166.5152095
"ADAM22",1.016336414,0.000112545,170.5842793
"TBPL1",-0.623200654,0.01595972,175.5906321
"VRK2",-1.09627017,1.91e-05,176.4160155
"OSBPL7",-1.303632342,0.000548384,177.5650981
"POLA2",-0.808669075,0.011643633,178.3342892
"IFNGR1",-0.944030375,1.27e-05,178.4196608
"CCDC28A",-0.646737185,0.008980604,182.905663
"RUFY3",0.921814065,6.49e-05,183.7263842
"AGPAT4",-1.674979878,9.8e-10,193.3407914
"REX1BD",0.861158515,0.001832438,193.4448952
"MAP4K3",1.169510428,6.43e-11,194.462034
"CIAPIN1",0.740743626,0.001383271,196.0717861
"C1orf112",-1.620120054,1.07e-08,199.0119864
"TSPOAP1",-2.40115763,1.02e-11,200.885081
"HSF2",0.831224426,0.005412171,215.7084984
"GCLC",-0.669026757,0.001563919,232.8235989
"SARM1",1.154334397,0.000773095,234.8585501
"GRAMD1B",-2.766063772,4.86e-19,241.648939
"SYPL1",1.90427835,2.17e-17,242.0730394
"PLEKHB1",2.600044655,4e-20,242.6685211
"ADIPOR2",-0.782967407,0.01986968,245.6038187
"ZNF263",0.841520247,0.000979444,249.4448618
"PLEKHO1",1.204862907,0.000124347,250.7881206
"MASP2",0.923062426,0.000571908,258.863094
"CDKL5",0.563509387,0.036972164,267.3243108
"POLDIP2",-0.759485105,0.002866232,279.5527647
"IKZF2",-1.631610542,4.13e-05,289.8239287
"ELOA",-0.583275401,0.004484574,291.6753407
"CAPN1",-1.137834217,3.22e-05,294.7586788
"YAF2",-0.907529263,1.77e-06,301.7386005
"GDE1",-1.464159639,8.83e-12,303.4770659
"GLT8D1",0.422109388,0.023161262,304.7634466
"VTA1",-0.865731901,1.3e-06,320.7563274
"PPP5C",-0.740854306,0.000128199,322.3222785
"PKD1",0.774502697,0.000119684,324.7784458
"FKBP4",0.579931271,0.001178518,333.2083091
"ANGEL1",1.07037424,7.47e-05,347.4258177
"VPS41",-0.849875777,0.000310264,356.1769205
"MVP",0.400442651,0.046543079,363.2670355
"LAP3",-1.030560331,0.000534718,365.2625318
"PSMB1",-0.982902927,2.45e-08,381.1898938
"MDH1",-0.405318668,0.036628682,386.6110373
"ST7L",0.858824559,7.85e-05,390.0663061
"NUDCD3",0.959617121,8e-05,401.7984054
"SH2D2A",-1.099564376,2.78e-05,414.88104
"SERPINB1",-0.639321907,0.000139865,426.9827402
"MRE11",-0.387273642,0.037969662,431.0563226
"ERP44",-0.469743418,0.019101307,431.3443113
"RTFDC1",-0.948903166,7.06e-07,442.6990129
"SPAST",-0.700657708,0.000873415,449.6899076
"MAP4K5",-0.47413126,0.014052645,455.8576951
"NDUFS1",-0.532247072,0.000331813,460.2670661
"AGK",-1.665746575,1.43e-21,460.5217841
"POU2F2",0.539866762,0.035202399,463.1803447
"AGPS",-0.910053256,9.4e-05,464.0939551
"SLC39A9",-0.491773743,0.008994328,488.5664401
"NCAPD2",-1.114119145,1.25e-06,514.4230798
"FBXL3",0.788207488,0.000126884,516.2952849
"WAS",-0.593125329,0.007368349,537.4737186
"TNFRSF1B",-3.406411299,5.07000000000000e-51,542.8254528
"IBTK",-1.00309338,6.01e-05,572.4302737
"RALBP1",-0.603578775,0.023665338,582.8768604
"RECQL",-1.366524732,3.4e-08,586.8876703
"ATP2C1",-0.627944377,0.002154535,590.7948528
"ELOVL5",-1.761168628,9.00000000000000e-23,602.364943
"RGPD5",1.657906903,2.16e-08,614.5460626
"NISCH",0.431885816,0.005788876,639.3561705
"CD99",-2.255638839,3.09e-16,643.5209068
"TENM1",-1.824385405,4.37e-08,646.2539857
"STRAP",-0.721210382,5.95e-05,649.8062779
"CD38",-2.934379019,7.45e-25,651.9259257
"CASP10",0.784218383,0.003391736,663.9707296
"CEP68",1.630271351,1.42e-18,755.1363231
"SLAMF7",-5.924169549,3.69e-47,796.0848351
"NIPAL3",0.890087366,2.76e-06,810.6565538
"SLC25A5",-1.63052158,6.72e-26,839.5868238
"LAMP2",-0.789145724,0.000113444,850.3004259
"PIK3C2A",0.633522213,0.002862806,881.4390313
"REV3L",-0.334617621,0.023443875,906.659322
"CDC27",-0.623203755,0.002194103,917.5149394
"CALCOCO1",-0.675559297,0.003562369,924.5695794
"M6PR",-1.167283879,5.3e-09,963.2804926
"JARID2",-0.786977879,1.02e-05,965.5191318
"RB1CC1",-0.578369004,0.027362293,973.8296634
"PHF20",0.882570439,3.2e-06,998.0917531
"RANBP9",-0.967317153,1.87e-08,1006.321736
"SEC62",0.743863274,3.02e-06,1035.191833
"MSL3",0.927306435,8.26e-08,1088.575004
"PTBP1",-0.812763218,7.11e-06,1120.542142
"LUC7L",0.929194629,2.12e-08,1229.725185
"RNF216",0.71758126,8.49e-05,1251.31037
"UBR2",-0.536979457,0.003582726,1282.697759
"MYLIP",1.122080815,0.000186748,1378.672041
"BIRC3",1.646714098,2.11e-11,1441.064392
"IL32",-1.636060643,1.95e-08,1631.969979
"CD6",0.626155204,0.004276065,1680.531746
"PAFAH1B1",-0.628330983,0.000865456,1727.928737
"ST3GAL1",1.115159457,3.67e-10,1865.606178
"LASP1",-1.336887734,2.28e-09,1961.076928
